Steps\Vars	state	actions	
Step1	A6	down	
Step2	B6	right	
Step3	B7	down	
Step4	C7	up	
Step5	B8	left	
Step6	B7	down	
Step7	C7	left	
Step8	C6	down	
Step9	D6	left	
Step10	D5	left	
Step11	D4	down	
Step12	E4	up	
Step13	D4	up	
Step14	C4	up	
Step15	B4	right	
Step16	B5	left	
Step17	B4	down	
Step18	C4	up	
Step19	B4	up	
Step20	A4	left	
Step21	A3	right	
Step22	A4	down	
Step23	B4	up	
Step24	A4	left	
Step25	A3	left	
Step26	A2	right	
Step27	A3	right	
Step28	A4	right	
Step29	A5	right	
Step30	A6	down	
Step31	B6	right	
