Steps\Vars	state	actions	
Step1	B8	left	
Step2	B7	left	
Step3	B6	left	
Step4	B5	up	
Step5	A5	down	
Step6	B5	right	
Step7	B6	down	
Step8	C6	right	
Step9	C7	down	
Step10	D7	down	
Step11	E7	left	
Step12	E6	up	
Step13	D6	down	
Step14	E6	right	
Step15	E7	up	
Step16	D7	down	
Step17	E7	up	
Step18	D7	down	
Step19	E7	right	
Step20	E8	left	
Step21	E7	up	
Step22	D7	left	
Step23	D6	up	
Step24	C6	up	
Step25	B6	right	
Step26	B7	up	
Step27	A7	down	
Step28	B7	right	
Step29	B8	right	
Step30	B9	left	
Step31	B8	left	
