Steps\Vars	state	actions	
Step1	C2	right	
Step2	C3	right	
Step3	C4	up	
Step4	B4	right	
Step5	B5	right	
Step6	B6	right	
Step7	B7	down	
Step8	C7	up	
Step9	B8	up	
Step10	A8	left	
Step11	A7	left	
Step12	A6	left	
Step13	A5	left	
Step14	A4	left	
Step15	A3	left	
Step16	A2	left	
Step17	A1	down	
Step18	B1	up	
Step19	A1	right	
Step20	A2	down	
Step21	B2	down	
Step22	C2	right	
Step23	C3	down	
Step24	D3	up	
Step25	C3	down	
Step26	D3	down	
Step27	E3	up	
Step28	D3	left	
Step29	D2	right	
Step30	D3	up	
Step31	C3	right	
