Steps\Vars	state	actions	
Step1	D7	up	
Step2	C7	up	
Step3	B8	left	
Step4	B7	left	
Step5	B6	left	
Step6	B5	left	
Step7	B4	up	
Step8	A4	left	
Step9	A3	left	
Step10	A2	left	
Step11	A1	right	
Step12	A2	left	
Step13	A1	right	
Step14	A2	down	
Step15	B2	up	
Step16	A2	left	
Step17	A1	right	
Step18	A2	left	
Step19	A1	down	
Step20	B1	up	
Step21	A1	down	
Step22	B1	up	
Step23	A1	right	
Step24	A2	right	
Step25	A3	right	
Step26	A4	right	
Step27	A5	down	
Step28	B5	right	
Step29	B6	right	
Step30	B7	down	
Step31	C7	up	
