Steps\Vars	state	actions	
Step1	E2	up	
Step2	D2	right	
Step3	D3	up	
Step4	C3	right	
Step5	C4	up	
Step6	B4	right	
Step7	B5	right	
Step8	B6	down	
Step9	C6	right	
Step10	C7	up	
Step11	B8	up	
Step12	A8	left	
Step13	A7	left	
Step14	A6	left	
Step15	A5	down	
Step16	B5	left	
Step17	B4	down	
Step18	C4	down	
Step19	D4	up	
Step20	C4	left	
Step21	C3	down	
Step22	D3	down	
Step23	E3	left	
Step24	E2	right	
Step25	E3	left	
Step26	E2	right	
Step27	E3	left	
Step28	E2	right	
Step29	E3	left	
Step30	E2	up	
Step31	D2	right	
